"variable","etiqueta","tipo","valores/categorías","unidad","origen","transformación","notas"
"Año","Año","entero","rango observado: 2009–2024","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"Edad materna","Edad materna","entero","rango observado: 10–19","años","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"PAREJA ESTABLE CATEGORIA","PAREJA ESTABLE CATEGORIA","texto/categórico","NO | SI","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"PAREJA ESTABLE CODIGO","PAREJA ESTABLE CODIGO","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"Estudios CODIGO","Estudios CODIGO","entero","rango observado: 0–5","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"Años estudios mayor nivel","Años estudios mayor nivel","entero","rango observado: 0–10","años","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"Etnia CATEGORIA","Etnia CATEGORIA","texto/categórico","blanca | indígena | mestiza | negra | otra","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"ETNIA CODIGO","ETNIA CODIGO","entero","rango observado: 1–5","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"ETNIA MINORITARIA","ETNIA MINORITARIA","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"Alfabeta","Alfabeta","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"CODIGO INFERTILIDAD","CODIGO INFERTILIDAD","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"Numero gestas previas","Numero gestas previas","entero","rango observado: 0–5","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"GESTAS PREVIAS CATEGORIA","GESTAS PREVIAS CATEGORIA","texto/categórico","4 O MAS | NINGUNA | UNO A TRES","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"Gestas previas CODIGO","Gestas previas CODIGO","entero","rango observado: 0–1","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"Número Abortos previos","Número Abortos previos","entero","rango observado: 0–4","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
"Abortos previos CATEGORIA","Abortos previos CATEGORIA","texto/categórico"," | No | Si","REVISION_MANUAL","Base SIP disponible: Adolescentes.csv","Ninguna en la base fuente; limpieza de espacios solo en encabezados","REVISION_MANUAL: confirmar etiqueta, codificación, unidad y valores faltantes con metadatos institucionales"
