"modelo","familia","Rhat_max","ESS_bulk_min","ESS_tail_min","divergencias","max_treedepth_configurado","treedepth_observado_max","iteraciones_en_max_treedepth","proporcion_en_max_treedepth","E_BFMI_min","PPC_resumen"
"Pareja estable","Bernoulli-logit",1.00061542759282,6643.76472435244,5201.12840754796,0,15,4,0,0,0.956731564980196,"0/4 estadísticos fuera del ICr95%"
"Escolaridad cruda: ninguna o primaria","Bernoulli-logit",1.00178256266719,5841.16283864487,5866.34594123648,0,15,4,0,0,0.974421956809409,"0/4 estadísticos fuera del ICr95%"
"Etnia minoritaria","Bernoulli-logit",1.0007595982789,6039.46677394303,5265.45760971384,0,15,4,0,0,1.0136617644219,"0/4 estadísticos fuera del ICr95%"
"Gestas previas","Bernoulli-logit",1.00070894714485,5568.82184171759,5501.98348035441,0,15,4,0,0,0.961141808722063,"0/4 estadísticos fuera del ICr95%"
"Embarazo múltiple","Bernoulli-logit",1.00044481951102,5443.71715390827,4884.70363082512,0,15,4,0,0,0.919906250935888,"0/4 estadísticos fuera del ICr95%"
"Embarazo planeado","Bernoulli-logit",1.00115073418093,7117.3497497705,5919.52285426095,0,15,4,0,0,0.949565473442205,"0/4 estadísticos fuera del ICr95%"
"Falla anticonceptiva","Bernoulli-logit",1.00053371320165,6115.64050874783,5895.16369249313,0,15,4,0,0,0.984490702962013,"0/4 estadísticos fuera del ICr95%"
"Infección urinaria","Bernoulli-logit",1.00082409383687,6467.84499745739,5873.99522964739,0,15,4,0,0,0.909090388085393,"0/4 estadísticos fuera del ICr95%"
"Compromiso del bienestar fetal","Bernoulli-logit",1.0012676378835,6047.29822081845,5704.9513225248,0,15,5,0,0,1.02105137985863,"0/4 estadísticos fuera del ICr95%"
"Trastorno hipertensivo","Bernoulli-logit",1.00057659693339,5263.24413967027,4945.43136688931,0,15,5,0,0,0.99524177609738,"0/4 estadísticos fuera del ICr95%"
"Parto vaginal","Bernoulli-logit",1.00014751392066,6137.66910337253,5943.77583792465,0,15,4,0,0,1.0504166082628,"0/4 estadísticos fuera del ICr95%"
"Rezago escolar binario","Bernoulli-logit",1.00020219212783,6149.9500122733,5698.0636830616,0,15,4,0,0,0.961118092989934,"0/4 estadísticos fuera del ICr95%"
"Control prenatal adecuado: sí/no","Bernoulli-logit",1.00137901611493,6785.54569168956,5479.12480448276,0,15,4,0,0,0.947809332550315,"0/4 estadísticos fuera del ICr95%"
"Adecuación ordinal del control prenatal","Ordinal cumulative-logit",1.00092571179629,4181.9341322682,5216.8421773123,0,15,7,0,0,0.984585598172681,"0/4 categorías fuera del ICr95%"
"gaussiano_no_ajustado","Gaussiano",1.00096423574872,7722.47717998327,5320.25935901769,0,12,3,0,0,0.980734013461796,"12/16 estadísticos fuera del ICr95%"
"gaussiano_ajustado","Gaussiano",1.0005405356547,9967.51495555529,5824.72576624126,0,12,3,0,0,1.02883480830574,"12/16 estadísticos fuera del ICr95%"
"poisson_no_ajustado","Poisson",1.00076351776562,5302.58490585207,4568.04595131343,0,12,3,0,0,1.01870784980531,"9/16 estadísticos fuera del ICr95%"
"poisson_ajustado","Poisson",1.00101263658436,5783.78880692526,4842.69383745334,0,12,3,0,0,1.00536991408323,"6/16 estadísticos fuera del ICr95%"
"negbin_no_ajustado","Binomial negativa",1.00140364502899,7626.13243665902,5168.33832625533,0,12,3,0,0,0.977561633805025,"6/16 estadísticos fuera del ICr95%"
"negbin_ajustado","Binomial negativa",1.00060395681774,8309.60168648125,5239.50891596176,0,12,3,0,0,1.02322211696196,"6/16 estadísticos fuera del ICr95%"
