"modelo","familia","parametro","estimacion","ICr95_inferior","ICr95_superior","Rhat","ESS_bulk","ESS_tail"
"Pareja estable","Bernoulli-logit","b_Intercept",0.237135441452065,0.18788603353202,0.284842076509525,1.00035420656083,6902.90411288171,5201.12840754796
"Pareja estable","Bernoulli-logit","b_menor15",-0.317669150046766,-0.52235146603842,-0.112453850185586,1.00061542759282,6643.76472435244,5906.19388290717
"Escolaridad cruda: ninguna o primaria","Bernoulli-logit","b_Intercept",-1.72467302502687,-1.79160650287986,-1.65734757328048,1.00178256266719,5841.16283864487,5982.96584269294
"Escolaridad cruda: ninguna o primaria","Bernoulli-logit","b_menor15",2.36708618290249,2.14941994486875,2.59579754626342,1.0007198865419,6755.26996702163,5866.34594123648
"Etnia minoritaria","Bernoulli-logit","b_Intercept",-2.96476231438109,-3.07558314428708,-2.85524998438646,1.00052511874993,6039.46677394303,5265.45760971384
"Etnia minoritaria","Bernoulli-logit","b_menor15",0.610958389028713,0.229460210441722,0.96619771194349,1.0007595982789,6319.66149872548,5555.64942225304
"Gestas previas","Bernoulli-logit","b_Intercept",-1.49996184081318,-1.5649130274795,-1.4362779350131,1.00023612301522,6102.55910454433,5961.60665262986
"Gestas previas","Bernoulli-logit","b_menor15",-1.97200842490277,-2.59579062030405,-1.45841841580167,1.00070894714485,5568.82184171759,5501.98348035441
"Embarazo múltiple","Bernoulli-logit","b_Intercept",-3.28653068073613,-3.41681581507758,-3.1581042232313,1.00032412980548,6812.45091082589,5837.130510893
"Embarazo múltiple","Bernoulli-logit","b_menor15",-1.00886348729665,-1.99115509496543,-0.242886854309571,1.00044481951102,5443.71715390827,4884.70363082512
"Embarazo planeado","Bernoulli-logit","b_Intercept",-1.21169205416815,-1.26913654033015,-1.15510504161976,1.00077665228735,7119.6572940303,6067.80233330887
"Embarazo planeado","Bernoulli-logit","b_menor15",-0.580442540704741,-0.884209038057992,-0.297636757208672,1.00115073418093,7117.3497497705,5919.52285426095
"Falla anticonceptiva","Bernoulli-logit","b_Intercept",-1.5604959646171,-1.62318257896796,-1.49710519480131,1.00053371320165,6997.43247333823,5895.16369249313
"Falla anticonceptiva","Bernoulli-logit","b_menor15",-0.984179854322292,-1.40193958779254,-0.619759100233432,1.0002544170034,6115.64050874783,5976.02918610936
"Infección urinaria","Bernoulli-logit","b_Intercept",0.106530721168556,0.0582857410723494,0.155987018161422,1.00082409383687,6604.89846770173,6267.37841277918
"Infección urinaria","Bernoulli-logit","b_menor15",-0.406175038761748,-0.617572766404478,-0.188677450587248,1.00025623045977,6467.84499745739,5873.99522964739
"Compromiso del bienestar fetal","Bernoulli-logit","b_Intercept",-2.16515461294804,-2.24311363620121,-2.08491705140904,1.0012676378835,6198.36131912252,5704.9513225248
