"modelo","familia","estadistico","observado","pred_mediana","pred_ICr95_inferior","pred_ICr95_superior","observado_fuera_ICr95"
"Pareja estable","Bernoulli-logit","prevalencia_global",0.554513148542999,0.554299928926795,0.538148542999289,0.571002132196162,FALSE
"Pareja estable","Bernoulli-logit","prevalencia_15_19",0.558881034742067,0.558580237629719,0.54203263648669,0.575131598736652,FALSE
"Pareja estable","Bernoulli-logit","prevalencia_10_14",0.479274611398964,0.476683937823834,0.417098445595855,0.544041450777202,FALSE
"Pareja estable","Bernoulli-logit","varianza_global",0.247063435816571,0.247086635145488,0.244993522173446,0.248580011110619,FALSE
"Escolaridad cruda: ninguna o primaria","Bernoulli-logit","prevalencia_global",0.178962331201137,0.178678038379531,0.16773276474769,0.189765458422175,FALSE
"Escolaridad cruda: ninguna o primaria","Bernoulli-logit","prevalencia_15_19",0.15115054895473,0.15115054895473,0.139712738757708,0.163332832004813,FALSE
"Escolaridad cruda: ninguna o primaria","Bernoulli-logit","prevalencia_10_14",0.658031088082902,0.655440414507772,0.585427461139896,0.720272020725389,FALSE
"Escolaridad cruda: ninguna o primaria","Bernoulli-logit","varianza_global",0.146955704438125,0.14677306024409,0.139618330622366,0.153776387973613,FALSE
"Etnia minoritaria","Bernoulli-logit","prevalencia_global",0.0511727078891258,0.0508884150675195,0.04363539445629,0.0585678749111585,FALSE
"Etnia minoritaria","Bernoulli-logit","prevalencia_15_19",0.0490299293126786,0.0488795307565047,0.0418107986163333,0.0565498571213716,FALSE
"Etnia minoritaria","Bernoulli-logit","prevalencia_10_14",0.0880829015544041,0.0854922279792746,0.0517487046632124,0.134715025906736,FALSE
"Etnia minoritaria","Bernoulli-logit","varianza_global",0.0485609646232463,0.0483056507543116,0.0417372791188458,0.0551455171843775,FALSE
"Gestas previas","Bernoulli-logit","prevalencia_global",0.174129353233831,0.173916133617626,0.162046908315565,0.186499644633973,FALSE
"Gestas previas","Bernoulli-logit","prevalencia_15_19",0.182583847195067,0.182433448638893,0.169645811400211,0.195518123026019,FALSE
"Gestas previas","Bernoulli-logit","prevalencia_10_14",0.0284974093264249,0.0310880829015544,0.0103626943005181,0.0569948186528497,FALSE
"Gestas previas","Bernoulli-logit","varianza_global",0.143828766319101,0.143689732013397,0.135807012300292,0.151739095860718,FALSE
"Embarazo múltiple","Bernoulli-logit","prevalencia_global",0.0348258706467662,0.0349680170575693,0.0291400142146411,0.0417910447761194,FALSE
"Embarazo múltiple","Bernoulli-logit","prevalencia_15_19",0.0360956534817266,0.0360956534817266,0.0297789141224244,0.0430177470296285,FALSE
"Embarazo múltiple","Bernoulli-logit","prevalencia_10_14",0.0129533678756477,0.0129533678756477,0.00259067357512953,0.0362694300518135,FALSE
"Embarazo múltiple","Bernoulli-logit","varianza_global",0.0336178080312116,0.0337500522894282,0.0282948958040942,0.0400502463514104,FALSE
"Embarazo planeado","Bernoulli-logit","prevalencia_global",0.224591329068941,0.224449182658138,0.210518834399431,0.238663823738451,FALSE
"Embarazo planeado","Bernoulli-logit","prevalencia_15_19",0.229357798165138,0.22905700105279,0.215069935328621,0.24410061663408,FALSE
"Embarazo planeado","Bernoulli-logit","prevalencia_10_14",0.142487046632124,0.142487046632124,0.0958549222797927,0.194300518134715,FALSE
"Embarazo planeado","Bernoulli-logit","varianza_global",0.17417482230183,0.174096494254023,0.166224282947746,0.181729235135505,FALSE
"Falla anticonceptiva","Bernoulli-logit","prevalencia_global",0.1681592039801,0.168301350390903,0.156783937455579,0.179957356076759,FALSE
"Falla anticonceptiva","Bernoulli-logit","prevalencia_15_19",0.173710332380809,0.173559933824635,0.1616784478869,0.185892615430892,FALSE
"Falla anticonceptiva","Bernoulli-logit","prevalencia_10_14",0.0725388601036269,0.0725388601036269,0.0414507772020725,0.11139896373057,FALSE
"Falla anticonceptiva","Bernoulli-logit","varianza_global",0.13990157260329,0.139995905763033,0.132221528734733,0.147593685983341,FALSE
"Infección urinaria","Bernoulli-logit","prevalencia_global",0.521256665225537,0.521544891194697,0.505977086035452,0.53841691886439,FALSE
"Infección urinaria","Bernoulli-logit","prevalencia_15_19",0.526748971193416,0.527358634354519,0.510131839658589,0.545191281816796,FALSE
"Infección urinaria","Bernoulli-logit","prevalencia_10_14",0.425925925925926,0.425925925925926,0.357142857142857,0.492063492063492,FALSE
"Infección urinaria","Bernoulli-logit","varianza_global",0.249584122496286,0.249571784198096,0.248559956506045,0.250000302225991,FALSE
"Compromiso del bienestar fetal","Bernoulli-logit","prevalencia_global",0.100639658848614,0.100639658848614,0.0912544420753376,0.110589907604833,FALSE
"Compromiso del bienestar fetal","Bernoulli-logit","prevalencia_15_19",0.103023010979095,0.102947811701008,0.0932471048277937,0.113250112798917,FALSE
"Compromiso del bienestar fetal","Bernoulli-logit","prevalencia_10_14",0.0595854922279793,0.0569948186528497,0.0310880829015544,0.0959196891191709,FALSE
"Compromiso del bienestar fetal","Bernoulli-logit","varianza_global",0.0905241856035231,0.0905241856035231,0.0829388578453037,0.0983737634181746,FALSE
"Trastorno hipertensivo","Bernoulli-logit","prevalencia_global",0.180726378237592,0.180726378237592,0.167848357690638,0.19303646360874,FALSE
"Trastorno hipertensivo","Bernoulli-logit","prevalencia_15_19",0.182945499081445,0.182945499081445,0.169473361910594,0.195958358848745,FALSE
"Trastorno hipertensivo","Bernoulli-logit","prevalencia_10_14",0.142480211081794,0.142480211081794,0.0976253298153034,0.195250659630607,FALSE
"Trastorno hipertensivo","Bernoulli-logit","varianza_global",0.148085781994392,0.148085781994392,0.139695500011412,0.15579592591437,FALSE
"Parto vaginal","Bernoulli-logit","prevalencia_global",0.603556187766714,0.603271692745377,0.588335704125178,0.619064722617354,FALSE
"Parto vaginal","Bernoulli-logit","prevalencia_15_19",0.597983142685129,0.597832630945214,0.581268813967489,0.614245936183022,FALSE
"Parto vaginal","Bernoulli-logit","prevalencia_10_14",0.699481865284974,0.696891191709845,0.629468911917099,0.761658031088083,FALSE
"Parto vaginal","Bernoulli-logit","varianza_global",0.239310157249371,0.239369007122899,0.235857141426081,0.242231260170474,FALSE
"Rezago escolar binario","Bernoulli-logit","prevalencia_global",0.175323751245197,0.17518144300555,0.162793510744272,0.188416109292728,FALSE
"Rezago escolar binario","Bernoulli-logit","prevalencia_15_19",0.165537998495109,0.165537998495109,0.1522949586155,0.178935289691497,FALSE
"Rezago escolar binario","Bernoulli-logit","prevalencia_10_14",0.345549738219895,0.342931937172775,0.274869109947644,0.411060209424084,FALSE
"Rezago escolar binario","Bernoulli-logit","varianza_global",0.144605912107304,0.144513470489634,0.136311179833339,0.152937243281587,FALSE
