"variable","resultado","analisis","periodo","prevalencia_15_19","ICr95_prev_15_19_inferior","ICr95_prev_15_19_superior","prevalencia_10_14","ICr95_prev_10_14_inferior","ICr95_prev_10_14_superior","diferencia_absoluta","ICr95_DP_inferior","ICr95_DP_superior","estimando_relativo","estimacion_relativa","ICr95_relativa_inferior","ICr95_relativa_superior","direccion"
"pareja_estable","Pareja estable","Binario principal","2009–2014",0.612528484314332,0.595843059842307,0.628261767693707,0.51367244542646,0.435287503883511,0.590335586616593,-0.0985527297476905,-0.179464690733264,-0.0190767049469417,"Razón de prevalencias marginal",0.838727327300499,0.708922959269922,0.968811355271336,"menor en 10–14"
"pareja_estable","Pareja estable","Binario principal","2015–2019",0.466850548329711,0.445812197723432,0.487422293234926,0.309499941685641,0.232646067815054,0.393125751447747,-0.156961391011885,-0.237172121213172,-0.072165876913931,"Razón de prevalencias marginal",0.663538890687755,0.496944408508219,0.843466314554111,"menor en 10–14"
"pareja_estable","Pareja estable","Binario principal","2020–junio 2024",0.575500254792124,0.54374618139348,0.605403438711355,0.630340906236635,0.540189339980385,0.717155159373185,0.0549773177497123,-0.039654140420488,0.147000945878457,"Razón de prevalencias marginal",1.09549822414952,0.932133724143366,1.26130749404499,"mayor en 10–14"
"etnia_minoritaria","Etnia minoritaria","Binario principal","2009–2014",0.0294127602966278,0.0241935608357445,0.0353604955707692,0.0475767682430288,0.0237526053994026,0.0862029805752667,0.0182251910574754,-0.00650200877783795,0.0570188583898081,"Razón de prevalencias marginal",1.6230020808102,0.788247610936701,3.01796795483061,"mayor en 10–14"
"etnia_minoritaria","Etnia minoritaria","Binario principal","2015–2019",0.0616354002617665,0.052146360036311,0.072337602612439,0.123797973289636,0.0750699367183106,0.188016528926255,0.0621171668989697,0.0121397927833875,0.127274771974836,"Razón de prevalencias marginal",2.01239883552466,1.18557829038547,3.17803475235155,"mayor en 10–14"
"etnia_minoritaria","Etnia minoritaria","Binario principal","2020–junio 2024",0.0901084885856266,0.0734958705545773,0.109080874988977,0.0942314225606259,0.0494958562975648,0.159195440315261,0.00381280196092692,-0.0445538269489222,0.0698057166217744,"Razón de prevalencias marginal",1.04276966308027,0.533061155352782,1.82199790009521,"mayor en 10–14"
"adecuacion_adecuada_bin","Control prenatal adecuado: sí/no","Binario principal","2009–2014",0.602620700999859,0.585655261104043,0.618997489455102,0.47318202215728,0.39232937712211,0.551819590477413,-0.129435747985551,-0.211528754872147,-0.0494682888201357,"Razón de prevalencias marginal",0.785327778687888,0.650148697003981,0.917631501645441,"menor en 10–14"
"adecuacion_adecuada_bin","Control prenatal adecuado: sí/no","Binario principal","2015–2019",0.659453827515019,0.639203482369234,0.679397100236092,0.594440870428412,0.505946158362118,0.677160681980793,-0.0649354373303526,-0.155177955739737,0.0196774782892898,"Razón de prevalencias marginal",0.901747627834969,0.765315615130909,1.03011273263607,"menor en 10–14"
"adecuacion_adecuada_bin","Control prenatal adecuado: sí/no","Binario principal","2020–junio 2024",0.567304892510837,0.535946370894513,0.598097161841695,0.550860012899949,0.45696715848431,0.643004442631079,-0.0160040500665409,-0.11524497027792,0.0799146506702929,"Razón de prevalencias marginal",0.971891640575785,0.800679348994453,1.14382923962959,"menor en 10–14"
"adecuacion_controles","Adecuación ordinal del control prenatal","Ordinal secundario","2009–2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,"OR común cumulative-logit",0.568605541571509,0.41832343191351,0.775262606729825,"menores odds de categoría más adecuada en 10–14"
"adecuacion_controles","Adecuación ordinal del control prenatal","Ordinal secundario","2015–2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,"OR común cumulative-logit",0.755475095631992,0.530862571501679,1.08705046463758,"menores odds de categoría más adecuada en 10–14"
"adecuacion_controles","Adecuación ordinal del control prenatal","Ordinal secundario","2020–junio 2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,"OR común cumulative-logit",0.86262105999673,0.582631288926644,1.27893701394642,"menores odds de categoría más adecuada en 10–14"
