numero,autores,titulo,año,tipo_fuente,doi,url,estado_enlace,correspondencia_cita,estado_final,accion
1,"Pietras J et al.","Adolescent pregnancy -- medical, legal and social issues",2024,articulo,"10.1080/14767058.2024.2391490","https://doi.org/10.1080/14767058.2024.2391490",funcional,si,CORREGIDA,"volumen numero eidentificador y abreviatura"
2,"Marvin-Dowle K et al.","Impact of adolescent age on maternal and neonatal outcomes in the Born in Bradford cohort",2018,articulo,"10.1136/bmjopen-2017-016258","https://doi.org/10.1136/bmjopen-2017-016258",funcional,si,CORREGIDA,"numero de fasciculo"
3,"Zhang T et al.","The adverse maternal and perinatal outcomes of adolescent pregnancy",2020,articulo,"10.1186/s12884-020-03022-7","https://doi.org/10.1186/s12884-020-03022-7",funcional,si,CORREGIDA,"numero de fasciculo y et al"
4,"Mann L et al.","Teenage pregnancy",2020,articulo,"10.31128/AJGP-02-20-5224","https://doi.org/10.31128/AJGP-02-20-5224",funcional,si,CORREGIDA,"numero de fasciculo"
5,"Organizacion Mundial de la Salud","Aceleracion mundial de las medidas para promover la salud de los adolescentes",2018,guia,,,no_aplica,si,VERIFICADA,"sin cambio"
6,"Sanhueza A et al.","Trends and inequities in adolescent childbearing in Latin American and Caribbean countries",2023,articulo,"10.1016/S2352-4642(23)00077-9","https://doi.org/10.1016/S2352-4642(23)00077-9",funcional,si,CORREGIDA,"numero de fasciculo y et al"
7,"World Health Organization","Adolescent pregnancy",2024,pagina_web,,"https://www.who.int/es/news-room/fact-sheets/detail/adolescent-pregnancy",funcional,si,CORREGIDA,"responsabilidad institucional y lugar"
8,"Rodriguez Ribas C","Adolescent pregnancy public policies and targeted programs in Latin America and the Caribbean",2021,articulo,"10.26633/RPSP.2021.144","https://doi.org/10.26633/RPSP.2021.144",funcional,si,CORREGIDA,"abreviatura y eidentificador"
9,"UNFPA Ecuador et al.","Consecuencias socioeconomicas del embarazo en la adolescencia en Ecuador",2020,informe,,"https://ecuador.unfpa.org/sites/default/files/pub-pdf/consecuencias_socioeconomicas_del_embarazo_adolescente_en_ecuador_1.pdf",funcional,si,CORREGIDA,"titulo editorial URL y acceso"
10,"Hayer S et al.","Prenatal care utilization and perinatal outcomes among pregnant adolescents in Mexico",2024,articulo,"10.1002/ijgo.15303","https://doi.org/10.1002/ijgo.15303",funcional,si,CORREGIDA,"numero y abreviatura"
11,"Ministerio de Salud Publica del Ecuador","Salud de adolescentes guia de supervision",2014,guia,,,no_aplica,si,CORREGIDA,"ortografia y datos editoriales"
12,"Peñaherrera Cepeda G","Historia e importancia de la ginecologia en la infancia y adolescencia",2022,articulo,"10.47464/MetroCiencia/vol30/4/2022/55-59","https://doi.org/10.47464/MetroCiencia/vol30/4/2022/55-59",funcional,si,CORREGIDA,"sustituye soporte incorrecto de afirmacion 1988"
13,"Ecuador Presidencia de la Republica","Reglamento General a la Ley Organica de Educacion Intercultural",2012,normativa,,"https://www.evaluacion.gob.ec/wp-content/uploads/downloads/2016/05/Reglamento_LOEI-enero2013.pdf",funcional,si,CORREGIDA,"extension URL duplicada normalizada metadatos y renumeracion"
14,"Ministerio de Educacion y Cultura","Reglamento General de la Ley de Educacion",1985,normativa,,"https://www.acnur.org/fileadmin/Documentos/BDL/2008/6625.pdf",funcional,si,CORREGIDA,"datos editoriales acceso y renumeracion"
15,"World Health Organization","WHO recommendations on antenatal care for a positive pregnancy experience",2016,guia,,"https://www.who.int/publications/i/item/9789241549912",funcional,si,CORREGIDA,"lugar editorial URL y renumeracion"
16,"Mejia JR et al.","Determinants of adolescent pregnancy in indigenous communities from the Peruvian central jungle",2021,articulo,"10.1186/s12978-021-01247-z","https://doi.org/10.1186/s12978-021-01247-z",funcional,si,CORREGIDA,"numero et al y renumeracion"
17,"Caira-Chuquineyra B et al.","Prevalence and factors associated with adolescent pregnancy among sexually active adolescent girls in Peru",2023,articulo,"10.12688/f1000research.108837.2","https://f1000research.com/articles/11-566/v2",funcional,si,CORREGIDA,"estado version 2 y revision abierta explicitados"
18,"United Nations DESA Population Division","Fertility among young adolescents aged 10 to 14 years",2020,informe,,"https://www.un.org/en/development/desa/population/publications/pdf/fertility/Fertility-young-adolescents-2020.pdf",funcional,si,CORREGIDA,"autoria editorial URL acceso y renumeracion"
19,"Borges ALV et al.","Fertility rates among very young adolescent women",2016,articulo,"10.1186/s12884-016-0843-x","https://doi.org/10.1186/s12884-016-0843-x",funcional,si,CORREGIDA,"numero de articulo y renumeracion"
20,"Monteiro DLM et al.","Trends in teenage pregnancy in Brazil in the last 20 years",2021,articulo,"10.1590/1806-9282.20210265","https://doi.org/10.1590/1806-9282.20210265",funcional,si,CORREGIDA,"numero et al y renumeracion"
21,"Lopes MC de L et al.","Tendencia temporal e fatores associados a gravidez na adolescencia",2020,articulo,"10.1590/S1980-220X2019020403639","https://doi.org/10.1590/S1980-220X2019020403639",funcional,si,CORREGIDA,"abreviatura eidentificador y renumeracion"
22,"Diabelkova J et al.","Adolescent pregnancy outcomes and risk factors",2023,articulo,"10.3390/ijerph20054113","https://doi.org/10.3390/ijerph20054113",funcional,si,CORREGIDA,"numero de fasciculo y renumeracion"
23,"Assis T de SC et al.","Reincidencia de gravidez na adolescencia",2022,articulo,"10.1590/1413-81232022278.00292022","https://doi.org/10.1590/1413-81232022278.00292022",funcional,si,CORREGIDA,"numero de fasciculo y renumeracion"
24,"Ramage K et al.","Trends in adolescent rapid repeat pregnancy in Canada",2021,articulo,"10.1016/j.jogc.2020.09.024","https://doi.org/10.1016/j.jogc.2020.09.024",funcional,si,CORREGIDA,"abreviatura numero y renumeracion"
25,"Bennetsen AKK et al.","Factors associated with teenage pregnancy in the Scandinavian countries",2024,articulo,"10.1177/14034948231172819","https://doi.org/10.1177/14034948231172819",funcional,si,CORREGIDA,"numero et al y renumeracion"
26,"Traisrisilp K et al.","Pregnancy outcomes among mothers aged 15 years or less",2015,articulo,"10.1111/jog.12789","https://doi.org/10.1111/jog.12789",funcional,si,CORREGIDA,"abreviatura numero y renumeracion"
27,"Lastinger J et al.","Teenage pregnancies in Austria",2023,articulo,"10.1055/a-1911-1996","https://doi.org/10.1055/a-1911-1996",funcional,si,CORREGIDA,"numero estilo de titulo y renumeracion"
